Millis,Sats,Lat,Lon,HDOP,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
122046401,12,514396185,-1454311,0.68,0.750,0.320,0.663,1.750,4.156,-0.156,-64.82,20.36,72.49
123620400,12,514396193,-1454263,0.72,0.750,0.320,0.663,1.750,4.188,-0.312,-64.82,20.36,72.49
125266405,12,514396193,-1454223,0.67,0.750,0.320,0.663,1.625,3.875,-0.125,-64.82,20.36,72.49
127090396,12,514396225,-1454221,0.67,0.749,0.321,0.664,1.781,4.156,-0.219,-64.82,20.36,72.49
128938405,12,514396265,-1454201,0.70,0.744,0.323,0.664,1.875,4.688,-0.250,-64.82,20.36,72.49
130528396,12,514396276,-1454223,0.70,0.396,0.730,0.795,-44.500,26.969,-51.906,-64.82,20.36,72.49
132225396,12,514396306,-1454255,0.67,0.581,0.792,0.473,-99.562,-30.000,-137.062,-64.82,20.36,72.49
134045396,12,514396340,-1454276,0.67,0.527,0.844,0.401,-50.312,-88.250,27.000,-64.82,20.36,72.49
136125396,12,514396289,-1454058,0.63,-0.014,0.854,1.316,92.312,-37.594,16.875,-64.82,20.36,72.49
138892392,12,514396204,-1453861,0.63,0.795,0.291,0.913,-0.938,15.969,46.938,-64.82,20.36,72.49
140515401,12,514396221,-1453931,0.63,-0.171,0.547,-0.049,-81.188,34.875,28.312,-64.82,20.36,72.49
142215392,12,514396135,-1453938,0.68,0.628,0.391,0.546,103.250,-0.906,-55.438,-64.82,20.36,72.49
144035401,12,514396106,-1453921,0.63,0.709,0.077,0.750,1.812,3.969,-0.250,-64.82,20.36,72.49
